latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-27.479,128.761,350.3,2.9,1.6,2018-10-17,0100,T,95,6.0NRT,306.6,240,D
-27.493,128.757,331.7,2.9,1.6,2018-10-17,0100,T,80,6.0NRT,303.2,88.8,D
-27.345,127.995,339.2,3.2,1.7,2018-10-17,0100,T,86,6.0NRT,304.2,173.3,D
-27.352,128.027,338.2,3.2,1.7,2018-10-17,0100,T,87,6.0NRT,303.8,161.6,D
-27.359,128.06,353.9,3.2,1.7,2018-10-17,0100,T,97,6.0NRT,305.6,320.1,D
-27.36,127.99,320.5,3.2,1.7,2018-10-17,0100,T,40,6.0NRT,300.8,51.7,D
-27.382,128.018,336.1,3.2,1.7,2018-10-17,0100,T,85,6.0NRT,302.6,153.1,D
-27.536,128.745,326.1,2.9,1.6,2018-10-17,0100,T,72,6.0NRT,303.9,62.6,D
-27.34,127.99,330.6,3.2,1.7,2018-10-17,0100,T,64,6.0NRT,303.6,107.8,D
-27.348,128.022,327.8,3.2,1.7,2018-10-17,0100,T,55,6.0NRT,303.6,84.9,D
-27.355,128.055,350.7,3.2,1.7,2018-10-17,0100,T,95,6.0NRT,306.1,286.1,D
-27.356,127.986,326.1,3.2,1.7,2018-10-17,0100,T,72,6.0NRT,301.1,86.7,D
-27.363,128.018,324.2,3.2,1.7,2018-10-17,0100,T,60,6.0NRT,302.5,69.5,D
-27.378,128.014,330.1,3.2,1.7,2018-10-17,0100,T,77,6.0NRT,302.3,107.6,D
-27.385,128.046,322,3.2,1.7,2018-10-17,0100,T,33,6.0NRT,304.1,50.1,D
-27.537,128.739,321.9,2.9,1.6,2018-10-17,0100,T,54,6.0NRT,303.5,41.5,D
-27.559,128.125,337.3,3.1,1.7,2018-10-17,0100,T,86,6.0NRT,303.6,157.2,D
-27.566,128.156,357.6,3.1,1.7,2018-10-17,0100,T,98,6.0NRT,306.7,368.8,D
-27.156,126.172,320.7,4.3,1.9,2018-10-17,0100,T,55,6.0NRT,303.4,76,D
-27.166,126.215,324.9,4.3,1.9,2018-10-17,0100,T,73,6.0NRT,304,112.8,D
-27.556,128.12,319.1,3.1,1.7,2018-10-17,0100,T,51,6.0NRT,303.3,38.2,D
-27.563,128.151,355.1,3.1,1.7,2018-10-17,0100,T,97,6.0NRT,306.8,335,D
-27.157,126.166,319,4.3,1.9,2018-10-17,0100,T,52,6.0NRT,303.2,66.3,D
-27.167,126.209,328.7,4.3,1.9,2018-10-17,0100,T,78,6.0NRT,304.4,153,D
-27.211,126.242,327.7,4.3,1.9,2018-10-17,0100,T,31,6.0NRT,304.3,122.4,D
-27.228,126.237,331.9,4.3,1.9,2018-10-17,0100,T,82,6.0NRT,302.7,179.5,D
-27.238,126.279,323.1,4.3,1.9,2018-10-17,0100,T,42,6.0NRT,303.1,85.7,D
-27.245,126.232,325.1,4.3,1.9,2018-10-17,0100,T,59,6.0NRT,301.2,110.4,D
-27.211,126.234,329,4.3,1.9,2018-10-17,0100,T,66,6.0NRT,304.4,141.2,D
-27.228,126.229,330.5,4.3,1.9,2018-10-17,0100,T,79,6.0NRT,302.3,163.2,D
-27.238,126.271,328.5,4.3,1.9,2018-10-17,0100,T,76,6.0NRT,303.2,135,D
-27.245,126.224,319.2,4.3,1.9,2018-10-17,0100,T,53,6.0NRT,300.4,70.4,D
-27.255,126.266,318.9,4.3,1.9,2018-10-17,0100,T,58,6.0NRT,302.1,62,D
-27.559,125.431,320.4,4.7,2,2018-10-17,0100,T,55,6.0NRT,302.4,88.7,D
-27.557,125.426,320.3,4.7,2,2018-10-17,0100,T,66,6.0NRT,302,94.9,D
-27.734,125.465,322.9,4.7,2,2018-10-17,0100,T,72,6.0NRT,301.4,122.3,D
-27.745,125.512,319.2,4.6,2,2018-10-17,0100,T,63,6.0NRT,301.6,86.3,D
-27.732,125.46,320.3,4.7,2,2018-10-17,0100,T,67,6.0NRT,301.4,98.4,D
-27.744,125.507,322.2,4.6,2,2018-10-17,0100,T,71,6.0NRT,301.5,113.5,D
-28.273,127.297,319.6,3.4,1.7,2018-10-17,0100,T,44,6.0NRT,302,48.3,D
-28.296,127.327,325.7,3.4,1.7,2018-10-17,0100,T,61,6.0NRT,303.3,81,D
