latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
43.44883,4.89827,328.7,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,279.8,5.2,N
43.44493,4.89752,331.3,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,279.4,5.2,N
43.44313,4.87656,307.6,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,263.3,2.3,N
43.44174,4.89003,296.7,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,272.6,1.7,N
43.43785,4.88927,313.1,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,273.2,1.7,N
43.43396,4.88851,297.8,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,274.3,1.2,N
43.43327,4.89523,296.7,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,273.9,1.2,N
38.73944,26.94936,299.2,0.69,0.74,2018-10-19,0112,N,nominal,1.0NRT,284.9,1.1,N
38.74014,26.94857,299.1,0.69,0.75,2018-10-19,0112,N,nominal,1.0NRT,285.6,2.1,N
42.00867,12.71692,298.6,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,278.1,0.7,N
39.35345,22.98691,299.2,0.43,0.62,2018-10-19,0112,N,nominal,1.0NRT,285.5,1.5,N
40.89537,16.71112,296.2,0.39,0.44,2018-10-19,0112,N,nominal,1.0NRT,284.6,0.6,N
41.38864,13.43578,305.7,0.43,0.38,2018-10-19,0112,N,nominal,1.0NRT,286.7,1.6,N
41.38522,13.43464,321.7,0.43,0.38,2018-10-19,0112,N,nominal,1.0NRT,286.4,1.6,N
38.56552,23.29623,301.5,0.47,0.64,2018-10-19,0112,N,nominal,1.0NRT,286,1.8,N
38.79276,15.21151,300.9,0.55,0.42,2018-10-19,0112,N,nominal,1.0NRT,285.6,0.4,N
37.2578,9.85061,300.5,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,280.7,0.6,N
36.77705,10.20171,301.6,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.7,0.5,N
36.59205,10.31982,298.4,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.3,0.5,N
36.58871,10.31899,300.1,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.1,0.6,N
36.80056,8.89203,305.4,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,284.8,0.9,N
36.5001,10.02559,297,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,286.6,0.5,N
36.78826,7.70179,344.9,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,288.8,4.9,N
36.87967,6.94424,307.8,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.8,1.1,N
36.87954,6.94224,302,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,288.2,1.4,N
36.87891,6.94672,309.8,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.8,0.8,N
36.87044,6.98185,326.9,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,288.1,2.5,N
36.87554,6.94598,305.3,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.6,0.8,N
36.86708,6.98111,308.1,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.8,1.4,N
36.76128,7.30986,310.6,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,288.9,1,N
36.42932,6.62377,317.6,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,286.6,2.1,N
35.77502,9.8922,305.9,0.39,0.37,2018-10-19,0112,N,nominal,1.0NRT,289.6,0.8,N
36.6311,3.23457,302.9,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,287.6,0.5,N
36.33448,5.48345,306.1,0.43,0.38,2018-10-19,0112,N,nominal,1.0NRT,284.5,1.3,N
36.59834,3.13534,297.5,0.54,0.42,2018-10-19,0112,N,nominal,1.0NRT,286.4,0.5,N
35.84883,8.59416,304.2,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,285,1,N
35.7653,7.36227,295.3,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,282.3,0.3,N
35.86706,6.0263,301.6,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,282.6,0.7,N
36.14106,2.93132,299,0.55,0.43,2018-10-19,0112,N,nominal,1.0NRT,283.4,0.9,N
35.88147,4.44549,296.6,0.47,0.4,2018-10-19,0112,N,nominal,1.0NRT,284.7,0.9,N
35.87784,4.44475,300.9,0.47,0.4,2018-10-19,0112,N,nominal,1.0NRT,285.1,0.9,N
35.8772,4.44999,303.5,0.47,0.4,2018-10-19,0112,N,nominal,1.0NRT,284.3,0.9,N
35.23276,8.17114,313.7,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,283.3,1.5,N
35.23211,8.17532,296.5,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,282.3,0.9,N
35.34879,5.76306,327.1,0.42,0.38,2018-10-19,0112,N,nominal,1.0NRT,286.5,3.6,N
34.93832,8.53064,297.4,0.38,0.36,2018-10-19,0112,N,nominal,1.0NRT,284.4,0.6,N
35.09393,5.64678,297.3,0.42,0.38,2018-10-19,0112,N,nominal,1.0NRT,286.2,0.5,N
33.92299,12.6783,323,0.51,0.41,2018-10-19,0112,N,nominal,1.0NRT,292.1,2.1,N
33.91927,12.67724,319.7,0.51,0.41,2018-10-19,0112,N,nominal,1.0NRT,291.4,2.1,N
32.2026,20.13229,302.3,0.46,0.64,2018-10-19,0112,N,nominal,1.0NRT,289.7,0.7,N
33.89384,12.60722,307.8,0.51,0.41,2018-10-19,0112,N,nominal,1.0NRT,291.6,0.7,N
33.89014,12.60617,314.5,0.51,0.41,2018-10-19,0112,N,nominal,1.0NRT,291.8,1.5,N
34.98344,5.71566,298.2,0.42,0.37,2018-10-19,0112,N,nominal,1.0NRT,288.1,0.7,N
34.98282,5.72024,302.7,0.42,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.8,0.8,N
34.98002,5.71493,299.1,0.42,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.3,0.7,N
33.86002,12.05984,332.9,0.48,0.4,2018-10-19,0112,N,nominal,1.0NRT,292.6,3.4,N
33.85051,12.03034,315,0.48,0.4,2018-10-19,0112,N,nominal,1.0NRT,292.3,1.2,N
33.85182,12.02924,307.2,0.48,0.4,2018-10-19,0112,N,nominal,1.0NRT,291.9,0.8,N
34.50441,6.98227,299.4,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,287.3,0.6,N
33.87196,9.98966,298.7,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,287.9,0.6,N
34.44049,5.88682,308.5,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,288.3,1,N
33.47948,11.10876,302.2,0.45,0.39,2018-10-19,0112,N,nominal,1.0NRT,290.6,0.4,N
33.53137,9.68397,301.4,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,278.7,0.6,N
32.65525,13.75502,302.3,0.4,0.44,2018-10-19,0112,N,nominal,1.0NRT,289.3,0.5,N
32.32351,15.22085,305.8,0.49,0.49,2018-10-19,0112,N,nominal,1.0NRT,292.1,0.8,N
32.3215,15.2191,303.7,0.49,0.49,2018-10-19,0112,N,nominal,1.0NRT,291.7,0.8,N
34.43858,2.05773,302.2,0.39,0.44,2018-10-19,0112,N,nominal,1.0NRT,281.1,0.8,N
32.79048,12.70024,312.5,0.53,0.42,2018-10-19,0112,N,nominal,1.0NRT,291,1.7,N
32.78736,12.67573,307,0.53,0.42,2018-10-19,0112,N,nominal,1.0NRT,290.1,1.1,N
32.85493,12.23474,303.4,0.5,0.41,2018-10-19,0112,N,nominal,1.0NRT,290.5,1.2,N
33.24926,9.74655,318.6,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,286.2,1.5,N
33.36628,8.54806,297.9,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,287,0.5,N
30.40721,19.59533,307.5,0.48,0.64,2018-10-19,0112,N,nominal,1.0NRT,290.2,1,N
30.40593,19.60018,303.3,0.48,0.64,2018-10-19,0112,N,nominal,1.0NRT,290,1,N
30.40339,19.60985,306,0.48,0.65,2018-10-19,0112,N,nominal,1.0NRT,290.2,1,N
31.9548,11.14558,315.2,0.47,0.39,2018-10-19,0112,N,nominal,1.0NRT,290.7,1.5,N
33.12606,3.32209,311,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,281,2,N
33.06792,3.33351,300.6,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,281.8,1,N
32.51472,6.70899,339.8,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,288.1,5.3,N
32.51141,6.7083,344.3,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,287.3,5.3,N
32.93742,3.23336,303.9,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,274.6,0.7,N
32.9337,3.23272,299.8,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,273.3,0.7,N
32.92999,3.23209,300,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,275.7,0.7,N
29.19062,21.52966,324.2,0.66,0.73,2018-10-19,0112,N,nominal,1.0NRT,289.8,3.7,N
32.83831,3.23778,308.9,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.7,1.6,N
32.83743,3.23638,304.6,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.2,0.7,N
32.83678,3.24163,298.5,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.2,0.7,N
29.18827,21.5302,318,0.66,0.73,2018-10-19,0112,N,nominal,1.0NRT,289.4,4.9,N
33.54965,-7.52599,305.3,0.66,0.73,2018-10-19,0112,N,nominal,1.0NRT,282,1.4,N
32.74903,3.18367,295.1,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.4,0.6,N
32.74531,3.18304,316.5,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,284.2,1.5,N
32.74159,3.18239,305.1,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.7,1.5,N
32.74363,3.18569,296,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.8,0.8,N
32.74057,3.17979,295.6,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.4,0.8,N
33.54911,-7.52857,295.8,0.66,0.73,2018-10-19,0112,N,nominal,1.0NRT,281.7,2.6,N
28.82532,22.14208,337.7,0.72,0.76,2018-10-19,0112,N,nominal,1.0NRT,289.4,4.9,N
28.82321,22.14947,307.2,0.72,0.76,2018-10-19,0112,N,nominal,1.0NRT,288.7,4.9,N
32.15947,6.59792,327.2,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,287.2,4.2,N
32.18754,6.38814,299.9,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,285.6,0.5,N
28.8269,22.14465,337.3,0.72,0.76,2018-10-19,0112,N,nominal,1.0NRT,289.1,6.1,N
28.82017,22.14207,306.8,0.72,0.76,2018-10-19,0112,N,nominal,1.0NRT,288.2,1.5,N
31.70154,9.24308,299.6,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,286.2,0.8,N
32.13425,6.47025,343,0.39,0.36,2018-10-19,0112,N,nominal,1.0NRT,288.6,6.3,N
32.5552,3.16772,304.6,0.49,0.4,2018-10-19,0112,N,nominal,1.0NRT,283.9,1.1,N
31.64709,9.17283,317,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,288.3,1.6,N
65.76944,24.1873,295.2,0.38,0.36,2018-10-19,0106,N,nominal,1.0NRT,261,0.9,N
65.76321,24.18123,298.8,0.38,0.36,2018-10-19,0106,N,nominal,1.0NRT,262.7,0.7,N
65.56437,22.21608,325.9,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,274.8,3.4,N
65.56316,22.22411,340.8,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,280.4,25.2,N
65.56195,22.23214,297.5,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,274,25.2,N
65.56,22.22132,311.9,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,274.2,1.5,N
64.64875,24.42684,295.9,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,273.4,0.9,N
64.64563,24.42389,316,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,272,0.9,N
57.5524,39.76075,296.9,0.47,0.64,2018-10-19,0106,N,nominal,1.0NRT,279.1,0.9,N
57.54969,39.75574,298.5,0.47,0.64,2018-10-19,0106,N,nominal,1.0NRT,278.7,0.8,N
